ine_id,distrito,municipio,freguesia,populacao,Inscritos,Votantes,Brancos,inscritos_freguesia,votantes_freguesia,brancos_freguesia
010103,Aveiro,Águeda,Aguada de Cima,867,642086.0,423734.0,7030.0,1325,874,15
010109,Aveiro,Águeda,Fermentelos,2586,642086.0,423734.0,7030.0,3952,2608,43
010112,Aveiro,Águeda,Macinhata do Vouga,3868,642086.0,423734.0,7030.0,5911,3901,65
010119,Aveiro,Águeda,Valongo do Vouga,3379,642086.0,423734.0,7030.0,5163,3408,57
010121,Aveiro,Águeda,União das freguesias de Águeda e Borralha,1225,642086.0,423734.0,7030.0,1872,1235,20
010122,Aveiro,Águeda,União das freguesias de Barrô e Aguada de Baixo,4356,642086.0,423734.0,7030.0,6656,4393,73
010123,Aveiro,Águeda,"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão",3303,642086.0,423734.0,7030.0,5047,3331,55
010124,Aveiro,Águeda,União das freguesias de Recardães e Espinhel,646,642086.0,423734.0,7030.0,987,651,11
010125,Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,3347,642086.0,423734.0,7030.0,5115,3375,56
010126,Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",3050,642086.0,423734.0,7030.0,4661,3076,51
010127,Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,3507,642086.0,423734.0,7030.0,5359,3537,59
010202,Aveiro,Albergaria-a-Velha,Alquerubim,705,642086.0,423734.0,7030.0,1077,711,12
010203,Aveiro,Albergaria-a-Velha,Angeja,4262,642086.0,423734.0,7030.0,6513,4298,71
010204,Aveiro,Albergaria-a-Velha,Branca,1042,642086.0,423734.0,7030.0,1592,1051,17
010206,Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,4459,642086.0,423734.0,7030.0,6814,4497,75
010209,Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,4932,642086.0,423734.0,7030.0,7537,4974,83
010210,Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,2281,642086.0,423734.0,7030.0,3486,2300,38
010304,Aveiro,Anadia,Avelãs de Caminho,3959,642086.0,423734.0,7030.0,6050,3992,66
010305,Aveiro,Anadia,Avelãs de Cima,4730,642086.0,423734.0,7030.0,7228,4770,79
010307,Aveiro,Anadia,Moita,2922,642086.0,423734.0,7030.0,4465,2947,49
010309,Aveiro,Anadia,Sangalhos,1727,642086.0,423734.0,7030.0,2639,1742,29
010310,Aveiro,Anadia,São Lourenço do Bairro,3685,642086.0,423734.0,7030.0,5631,3716,62
010312,Aveiro,Anadia,Vila Nova de Monsarros,1333,642086.0,423734.0,7030.0,2037,1344,22
010313,Aveiro,Anadia,Vilarinho do Bairro,4474,642086.0,423734.0,7030.0,6837,4512,75
010316,Aveiro,Anadia,"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas",4183,642086.0,423734.0,7030.0,6392,4218,70
010317,Aveiro,Anadia,União das freguesias de Arcos e Mogofores,2039,642086.0,423734.0,7030.0,3116,2056,34
010318,Aveiro,Anadia,"União das freguesias de Tamengos, Aguim e Óis do Bairro",1646,642086.0,423734.0,7030.0,2515,1660,28
010402,Aveiro,Arouca,Alvarenga,3789,642086.0,423734.0,7030.0,5790,3821,63
010407,Aveiro,Arouca,Chave,1633,642086.0,423734.0,7030.0,2495,1647,27
010409,Aveiro,Arouca,Escariz,518,642086.0,423734.0,7030.0,792,522,9
010411,Aveiro,Arouca,Fermedo,1140,642086.0,423734.0,7030.0,1742,1150,19
010413,Aveiro,Arouca,Mansores,733,642086.0,423734.0,7030.0,1120,739,12
010414,Aveiro,Arouca,Moldes,711,642086.0,423734.0,7030.0,1086,717,12
010415,Aveiro,Arouca,Rossas,4042,642086.0,423734.0,7030.0,6177,4076,68
010416,Aveiro,Arouca,Santa Eulália,4649,642086.0,423734.0,7030.0,7104,4688,78
010417,Aveiro,Arouca,São Miguel do Mato,4674,642086.0,423734.0,7030.0,7142,4713,78
010418,Aveiro,Arouca,Tropeço,3066,642086.0,423734.0,7030.0,4685,3092,51
010419,Aveiro,Arouca,Urrô,4676,642086.0,423734.0,7030.0,7145,4715,78
010420,Aveiro,Arouca,Várzea,4065,642086.0,423734.0,7030.0,6212,4099,68
010421,Aveiro,Arouca,União das freguesias de Arouca e Burgo,759,642086.0,423734.0,7030.0,1160,765,13
010422,Aveiro,Arouca,União das freguesias de Cabreiros e Albergaria da Serra,4381,642086.0,423734.0,7030.0,6695,4418,73
010423,Aveiro,Arouca,União das freguesias de Canelas e Espiunca,4370,642086.0,423734.0,7030.0,6678,4407,73
010424,Aveiro,Arouca,União das freguesias de Covelo de Paivó e Janarde,2206,642086.0,423734.0,7030.0,3371,2225,37
010501,Aveiro,Aveiro,Aradas,2632,642086.0,423734.0,7030.0,4022,2654,44
010502,Aveiro,Aveiro,Cacia,2287,642086.0,423734.0,7030.0,3495,2306,38
010505,Aveiro,Aveiro,Esgueira,3119,642086.0,423734.0,7030.0,4766,3145,52
010508,Aveiro,Aveiro,Oliveirinha,3672,642086.0,423734.0,7030.0,5611,3703,61
010510,Aveiro,Aveiro,São Bernardo,4780,642086.0,423734.0,7030.0,7304,4820,80
010511,Aveiro,Aveiro,São Jacinto,2723,642086.0,423734.0,7030.0,4161,2746,46
010513,Aveiro,Aveiro,Santa Joana,3311,642086.0,423734.0,7030.0,5060,3339,55
010515,Aveiro,Aveiro,Eixo e Eirol,3997,642086.0,423734.0,7030.0,6108,4031,67
010516,Aveiro,Aveiro,"Requeixo, Nossa Senhora de Fátima e Nariz",4362,642086.0,423734.0,7030.0,6666,4399,73
010517,Aveiro,Aveiro,União das freguesias de Glória e Vera Cruz,2481,642086.0,423734.0,7030.0,3791,2502,42
010602,Aveiro,Castelo de Paiva,Fornos,3537,642086.0,423734.0,7030.0,5405,3567,59
